Node 0,Node 1,Node 2,Node 3,Node 4,Node 5,Node 6,Node 7,Node 8,Node 9,Node 10,Node 11,Node 12,Node 13,Node 14,Node 15,Node 16,Node 17,Node 18,Node 19,Node 20,Node 21,Node 22,Node 23,Node 24,Node 25,Node 26,Node 27,Node 28,Node 29,Node 30,Node 31,Node 32,Node 33,Node 34,Node 35,Node 36,Node 37,Node 38,Node 39,Node 40,Node 41,Node 42,Node 43,Node 44,Node 45,Node 46,Node 47,Node 48,Node 49,Node 50,Node 51,Node 52,Node 53,Node 54,Node 55,Node 56,Node 57,Node 58,Node 59,Node 60,Node 61,Node 62,Node 63,Node 64,Node 65,Node 66,Node 67,Node 68,Node 69,Node 70,Node 71,Node 72,Node 73,Node 74,Node 75,Node 76,Node 77,Node 78,Node 79,Node 80,Node 81,Node 82,Node 83,Node 84,Node 85,Node 86,Node 87,Node 88,Node 89,Node 90,Node 91,Node 92,Node 93,Node 94,Node 95,Node 96,Node 97,Node 98,Node 99,ns since start
40,64,63,63,46,43,57,62,61,44,45,63,48,47,47,39,42,64,47,43,42,42,64,66,63,56,54,53,60,64,61,53,59,42,57,56,62,58,45,54,61,64,62,58,51,41,60,42,64,41,48,42,61,59,55,45,53,56,64,66,61,58,58,62,67,65,42,58,60,64,45,46,39,41,52,64,57,43,63,65,45,55,59,57,45,57,56,61,45,65,60,58,47,48,60,48,54,62,45,48,3528233500
40,64,63,65,46,44,62,63,61,44,45,63,58,47,63,42,42,64,60,44,43,42,65,66,63,56,54,54,61,64,65,53,59,42,57,57,62,58,45,54,61,65,62,58,51,41,63,45,64,55,49,43,62,60,55,46,53,56,65,66,62,63,59,63,67,65,42,59,61,64,45,46,39,41,53,65,58,44,63,65,46,55,61,57,45,57,56,61,45,66,60,58,47,48,60,48,64,63,45,58,3571201400
40,64,63,65,46,50,62,64,62,44,45,63,59,66,63,45,51,64,63,68,43,42,68,68,63,56,63,54,61,64,65,53,59,46,57,57,66,58,45,54,61,68,63,58,51,41,66,66,64,55,49,43,62,60,58,46,66,56,65,67,62,65,59,63,67,65,42,59,61,64,45,70,51,41,53,65,58,44,64,65,46,64,61,57,45,57,56,61,52,68,60,63,47,48,60,48,64,63,66,62,3631778000
58,64,64,66,47,66,64,70,64,44,45,73,68,69,63,64,70,64,64,69,65,62,73,68,68,67,66,54,61,64,66,53,60,68,58,58,70,59,63,54,62,72,69,65,70,41,67,69,69,56,50,44,63,60,66,66,66,57,65,67,62,67,59,63,67,70,42,66,62,65,69,70,59,65,53,65,59,44,68,68,46,68,69,57,71,57,57,61,66,69,60,70,70,48,60,49,70,63,68,67,3772681600
72,72,72,75,74,66,68,71,76,67,49,73,68,70,63,64,70,66,65,76,70,72,73,68,68,73,66,70,73,64,74,53,68,71,73,64,71,64,73,75,73,73,75,72,71,41,69,74,69,56,73,62,73,65,67,73,66,67,74,67,70,67,68,74,67,74,71,66,62,72,69,71,59,65,54,65,59,44,75,72,72,74,69,72,71,76,67,61,66,72,74,73,74,72,60,76,71,75,68,76,4050666700
72,72,72,75,74,66,68,71,76,67,49,73,68,70,63,64,70,66,65,76,70,72,73,68,68,73,66,70,73,64,74,53,68,71,73,64,71,64,73,75,73,73,75,72,71,41,69,74,69,56,73,62,73,65,71,73,66,67,74,67,70,67,68,74,67,74,71,69,62,72,69,71,59,65,54,65,59,44,75,72,72,74,69,73,71,76,68,61,66,72,74,73,74,72,60,76,71,75,68,77,4053082900
72,72,72,75,74,66,70,71,76,75,76,73,68,70,75,64,70,66,65,76,70,73,73,68,68,75,66,70,73,76,74,76,75,74,73,64,71,74,73,75,73,73,75,72,71,73,69,74,69,56,73,73,73,71,75,74,66,67,74,67,70,71,68,74,67,74,73,74,67,72,69,71,59,66,74,65,59,48,76,72,72,74,75,73,73,78,75,62,66,73,74,73,76,73,61,76,71,75,72,77,4143462200
72,72,72,75,74,66,77,79,78,76,76,73,77,79,77,79,79,79,79,77,70,77,73,76,68,81,66,70,79,80,77,76,78,80,73,74,80,80,76,78,80,73,75,72,77,79,72,78,69,74,73,75,75,76,76,77,74,67,80,67,70,80,68,78,72,74,75,78,73,72,71,76,73,79,76,77,78,48,79,72,72,75,78,76,79,79,77,77,73,74,74,78,80,74,79,81,78,78,72,77,4306008100
72,72,72,79,74,77,77,81,78,76,77,73,77,79,77,80,79,82,79,79,70,80,73,76,70,81,73,74,80,80,77,76,81,80,73,74,81,80,76,82,80,73,81,72,78,79,72,78,78,74,80,75,75,76,76,77,74,71,80,67,70,82,68,78,83,74,78,78,73,72,71,76,73,80,76,78,78,48,79,73,80,75,78,78,79,80,77,78,74,74,74,78,80,81,79,81,81,78,72,77,4462343700
72,72,72,79,74,77,77,81,78,76,77,73,77,79,77,80,79,82,79,79,70,80,73,76,70,81,73,74,80,80,77,76,81,80,73,74,81,80,76,82,80,73,82,72,78,79,72,78,78,74,80,75,75,76,76,77,74,71,80,67,70,82,68,78,83,74,78,78,73,72,71,76,73,80,76,78,78,48,79,73,80,75,78,78,79,80,77,78,74,74,74,78,80,81,79,81,81,78,72,77,4467400100
86,72,86,79,74,83,77,81,78,76,77,73,77,79,84,80,79,82,79,79,70,80,73,76,70,81,73,74,81,80,82,76,81,83,73,74,86,80,76,84,80,73,82,72,78,79,72,79,78,74,80,75,75,82,80,77,74,71,80,67,70,82,68,78,83,78,78,78,73,79,71,83,76,80,76,78,80,48,83,73,81,75,78,78,79,80,77,78,74,84,74,78,80,81,79,81,82,78,85,77,4559052900
87,72,86,79,74,83,77,81,78,76,81,76,81,79,84,80,80,82,87,79,70,80,73,77,70,88,73,74,85,80,83,76,85,86,73,74,87,83,76,84,84,73,82,72,78,82,81,83,78,81,80,82,85,85,83,78,81,71,80,67,70,82,68,82,84,85,78,78,82,85,71,87,83,80,83,78,86,65,87,73,83,82,83,78,83,80,84,78,74,85,74,84,83,81,79,81,86,78,88,83,4646505100
