Message ID,Issuance Time (unix),Confirmation Time (ns),ParentID,# of Confirmed Messages,# of Issued Messages,ns since start
555,1685538538,2074487500,539,235,726,9416401600
556,1685538538,2578813100,555,236,752,9920946300
557,1685538538,2577193400,556,237,752,9921136900
558,1685538538,2577078200,557,238,752,9921280900
148,1685538533,7335237900,57,239,752,9921524200
301,1685538535,5525821300,164,240,752,9922172900
281,1685538535,5667801300,277,241,752,9922427500
722,1685538540,515362700,721,242,753,9922676300
723,1685538540,515156200,722,243,754,9922897200
724,1685538540,514924200,723,244,755,9923069500
725,1685538540,513573600,724,245,756,9923204600
753,1685538541,820100,725,246,757,9923399300
754,1685538541,791000,753,247,758,9923588400
180,1685538534,6782275400,78,248,758,9924560400
182,1685538534,6736495300,180,249,758,9924642700
246,1685538535,5806627100,182,250,758,9924751200
247,1685538535,5806421800,246,251,758,9924766300
489,1685538537,3139453300,247,252,758,9924919200
490,1685538537,3139340300,489,253,758,9924934900
491,1685538537,3331848100,490,254,764,10117568200
196,1685538534,6642062800,87,255,764,10118676400
302,1685538535,5716642200,127,256,764,10119638800
343,1685538536,5007229300,302,257,764,10119934500
319,1685538535,5365781600,220,258,764,10120082700
165,1685538534,7548873400,95,259,790,10487413800
67,1685538532,8878795100,33,260,790,10487774000
332,1685538536,5593496100,154,261,790,10487809600
333,1685538536,5591025900,332,262,790,10488048700
291,1685538535,6168283000,290,263,790,10488603200
463,1685538537,4007519200,291,264,790,10488949900
320,1685538535,5735103200,319,265,790,10489495800
255,1685538535,6359368400,127,266,790,10489790900
166,1685538534,7542407500,148,267,790,10489905300
108,1685538533,8334288600,57,268,790,10490016100
235,1685538535,7588954400,189,269,879,11564016000
755,1685538541,1652085000,754,270,881,11575084400
756,1685538541,1989033500,755,271,912,11912168300
757,1685538541,1989115700,756,272,913,11912393500
76,1685538532,10091372500,33,273,913,11912599500
425,1685538537,5763504500,353,274,913,11913313800
72,1685538532,10231275800,52,275,913,11913695500
261,1685538535,7747903800,176,276,913,11914167500
191,1685538534,8474002500,119,277,913,11914899700
758,1685538541,1991768200,757,278,914,11915278300
881,1685538542,340440300,758,279,915,11915510100
205,1685538534,8209888000,200,280,915,11915745600
245,1685538535,7805077900,205,281,915,11915940800
341,1685538536,6885605100,245,282,915,11916096400
912,1685538543,4764900,881,283,916,11916775800
913,1685538543,4696500,912,284,917,11916987800
231,1685538535,7973755200,196,285,917,11917398300
914,1685538543,3386700,913,286,918,11918527700
915,1685538543,3419000,914,287,919,11918832300
916,1685538543,2328200,915,288,920,11918982800
713,1685538540,2545665900,235,289,920,11919325000
917,1685538543,2695000,916,290,921,11919578600
918,1685538543,1751900,917,291,922,11920125200
919,1685538543,1725100,918,292,923,11920424500
433,1685538537,5697784100,432,293,923,11921338400
436,1685538537,5689660300,433,294,923,11921443300
355,1685538536,6602876100,333,295,923,11921499700
437,1685538537,5688957000,436,296,923,11921727500
438,1685538537,5688958600,437,297,923,11921860200
579,1685538538,4345217300,438,298,923,11921945800
581,1685538538,4298303700,579,299,923,11921964500
419,1685538537,5854059000,295,300,923,11922762100
614,1685538539,3725679400,581,301,923,11922904100
615,1685538539,3731821200,614,302,923,11929839600
616,1685538539,3731838800,615,303,923,11929994700
466,1685538537,5359244200,463,304,923,11930168000
920,1685538543,11454400,919,305,924,11930471500
921,1685538543,11462900,920,306,925,11930852700
147,1685538533,9377264300,133,307,925,11931265700
280,1685538535,7686038600,164,308,925,11931845000
244,1685538535,7822917700,65,309,925,11933459200
162,1685538534,9047958700,49,310,925,11933615800
420,1685538537,5864752000,419,311,925,11933706400
922,1685538543,14036100,921,312,926,11934043800
282,1685538535,7652394300,127,313,926,11934564800
457,1685538537,5505640800,420,314,926,11934681600
492,1685538537,5149080000,491,315,926,11934924900
434,1685538537,5706977200,355,316,926,11935033500
923,1685538543,15444100,922,317,927,11935760400
476,1685538537,5221444400,425,318,927,11936072700
415,1685538537,6511951700,414,319,971,12568963600
416,1685538537,8535336800,415,320,1110,14592517100
417,1685538537,8535820500,416,321,1110,14593292200
459,1685538537,8135451200,417,322,1110,14593437500
660,1685538540,5663935800,459,323,1110,14593781900
102,1685538533,12545414100,34,324,1110,14594171800
132,1685538533,12112451300,128,325,1110,14594319800
316,1685538535,9905784900,132,326,1110,14594489600
257,1685538535,10460417100,65,327,1110,14595667700
924,1685538543,2665585600,923,328,1111,14596000200
925,1685538543,2665689700,924,329,1112,14596431200
334,1685538536,9690050400,244,330,1112,14597389400
211,1685538534,10870786700,147,331,1112,14597576800
125,1685538533,12271299000,89,332,1112,14597738200
926,1685538543,2664061600,925,333,1113,14598037800
559,1685538538,7254045300,558,334,1113,14598368400
927,1685538543,2663183800,926,335,1114,14598841400
569,1685538538,7150221200,559,336,1114,14599220000
570,1685538538,7149878900,569,337,1114,14599476300
571,1685538538,7150248700,570,338,1114,14600015300
601,1685538539,6584974600,571,339,1114,14600246400
602,1685538539,6579368600,601,340,1114,14600651800
603,1685538539,6573516200,602,341,1114,14602316200
604,1685538539,6573556400,603,342,1114,14602517000
645,1685538539,5957381200,604,343,1114,14602888400
729,1685538540,5102723600,645,344,1114,14603107100
730,1685538540,5102686400,729,345,1114,14603328100
367,1685538536,9157847700,235,346,1114,14603741000
731,1685538540,5102574700,730,347,1114,14603893100
732,1685538540,5102685900,731,348,1114,14604308700
733,1685538540,5102622600,732,349,1114,14604554700
734,1685538540,5102326000,733,350,1114,14604687200
782,1685538541,4157343600,734,351,1114,14604891700
783,1685538541,4157671900,782,352,1114,14605552200
784,1685538541,4157657700,783,353,1114,14605954700
785,1685538541,4157603200,784,354,1114,14606194800
150,1685538533,11935362100,53,355,1114,14606902200
236,1685538535,10610817700,211,356,1114,14607040700
345,1685538536,9450340800,236,357,1114,14607183900
670,1685538540,5560841100,345,358,1114,14607333000
394,1685538537,8713410500,316,359,1114,14607442800
390,1685538537,8891976500,65,360,1121,14748214900
299,1685538535,10363101400,72,361,1121,14748346600
786,1685538541,4302024000,785,362,1121,14750919700
494,1685538537,7961954700,492,363,1121,14751140600
357,1685538536,9414694800,280,364,1121,14751968100
149,1685538533,12126487100,57,365,1121,14752307500
317,1685538535,10051272500,257,366,1121,14752452800
597,1685538539,6828236900,390,367,1121,14752474400
621,1685538539,6510777900,597,368,1121,14752706000
215,1685538534,11009640700,76,369,1121,14752999000
314,1685538535,10089505300,195,370,1121,14754344300
787,1685538541,4545794600,786,371,1142,14998052600
495,1685538537,8209136300,494,372,1142,14998490400
372,1685538536,9278562100,360,373,1142,14998642100
373,1685538536,9277999700,372,374,1142,14998782600
453,1685538537,8624447700,373,375,1142,14998951400
507,1685538538,8111230400,453,376,1142,14999092000
633,1685538539,6558754100,507,377,1142,14999228600
167,1685538534,12051685800,166,378,1142,14999413500
788,1685538541,4540792700,787,379,1142,14999657800
789,1685538541,4541087200,788,380,1142,15000184200
823,1685538542,4003665000,789,381,1142,15000415500
479,1685538537,8279254000,476,382,1142,15000611600
103,1685538533,12952040800,46,383,1142,15001263800
606,1685538539,6948902000,103,384,1142,15001426600
705,1685538540,5677070400,621,385,1142,15002674500
706,1685538540,5676791600,705,386,1142,15002872900
707,1685538540,5676902800,706,387,1142,15003165500
708,1685538540,5676546700,707,388,1142,15003391800
197,1685538534,11488084700,95,389,1142,15003609200
1111,1685538545,407917900,927,390,1143,15003792900
158,1685538533,12228440300,101,391,1143,15004196500
311,1685538535,10368475600,158,392,1143,15004309700
428,1685538537,8821934400,311,393,1143,15005907500
