Message ID,Issuance Time (unix),Confirmation Time (ns),Weight,# of Confirmed Messages,# of Issued Messages,ns since start
8,1685360094,1882969700,31,272,144,2269971600
4,1685360094,1951210000,43,273,144,2269977200
9,1685360094,2014637600,201,274,155,2442652600
7,1685360094,2056799400,228,275,155,2442665800
5,1685360094,2089633900,256,276,155,2442671700
2,1685360094,2228557500,317,277,155,2442677700
1,1685360094,2255831800,355,278,155,2442683500
15,1685360094,1911699500,13,279,155,2442826000
6,1685360094,2085541000,19,280,155,2442828300
18,1685360094,1862006900,12,281,155,2442953500
15,1685360094,1911830500,18,282,155,2442956200
6,1685360094,2085671600,25,283,155,2442958900
16,1685360094,1894753800,14,284,155,2443055800
2,1685360094,2228940000,325,285,155,2443058500
1,1685360094,2256210400,364,286,155,2443059900
83,1685360095,999882000,14,287,156,2443200500
82,1685360095,1000058500,20,288,156,2443204700
80,1685360095,1050091700,27,289,156,2443207400
75,1685360095,1112165800,35,290,156,2443210700
74,1685360095,1116709800,44,291,156,2443216800
72,1685360095,1117563400,54,292,156,2443220900
45,1685360095,1456700900,65,293,156,2443223400
44,1685360095,1456824300,77,294,156,2443225600
33,1685360094,1612531000,90,295,156,2443227400
32,1685360094,1612631400,104,296,156,2443232000
31,1685360094,1612756500,119,297,156,2443236000
24,1685360094,1755695300,135,298,156,2443237900
17,1685360094,1888841100,165,299,156,2443240600
9,1685360094,2015232400,206,300,156,2443243800
7,1685360094,2057383900,234,301,156,2443309800
5,1685360094,2090280600,263,302,156,2443316600
2,1685360094,2229200700,332,303,156,2443319000
1,1685360094,2256471600,372,304,156,2443321600
17,1685360094,1889029800,183,305,156,2443431900
9,1685360094,2015423800,225,306,156,2443434700
7,1685360094,2057573400,254,307,156,2443436400
5,1685360094,2090402800,284,308,156,2443438700
2,1685360094,2229323000,354,309,156,2443441300
1,1685360094,2256593200,395,310,156,2443442700
43,1685360094,1530509200,14,311,156,2443460800
36,1685360094,1579450700,20,312,156,2443469400
30,1685360094,1613554200,27,313,156,2443475500
29,1685360094,1613988500,35,314,156,2443478300
21,1685360094,1836615200,53,315,156,2443481500
12,1685360094,1999592000,69,316,156,2443485200
10,1685360094,2015326600,84,317,156,2443487600
3,1685360094,2193939300,107,318,156,2443490700
43,1685360094,1533842100,17,319,156,2446796500
36,1685360094,1582784500,24,320,156,2446802800
30,1685360094,1616885000,32,321,156,2446806100
29,1685360094,1617319300,41,322,156,2446809000
21,1685360094,1839945200,60,323,156,2446811700
12,1685360094,2002921600,77,324,156,2446814700
10,1685360094,2018659000,93,325,156,2446819600
3,1685360094,2197271600,117,326,156,2446823400
17,1685360094,1911500900,187,327,156,2465902500
9,1685360094,2037898400,230,328,156,2465910000
7,1685360094,2080049600,260,329,156,2465912600
5,1685360094,2112879700,291,330,156,2465915700
2,1685360094,2251799900,362,331,156,2465918500
1,1685360094,2279071400,404,332,156,2465921300
